DBNDD2	SYS1-DBNDD2	1922.5883774662313
SYS1-DBNDD2	DBNDD2	1832.8830316764545
JUND	ZFP36	526.8705925369833
ZFP36	JUND	474.0721635744024
RPL3	RPL3P4	362.6795518152984
RPL3P4	RPL3	306.5736208706473
COL4A2	COL4A1	282.2733242965044
MT2A	NNMT	269.50705313302296
NNMT	MT2A	268.77546110904393
HLA-C	B2M	254.11405129300547
B2M	HLA-C	252.397417957716
COL1A2	COL1A1	234.16687392617519
COL1A1	COL3A1	232.12948956176385
COL1A2	COL3A1	228.2692798123089
RGS5.1	LUM	223.06669706714257
COL4A1	COL4A2	210.51277215166147
IGFBP6	S100A6	207.3494101411452
RPL13A	RPL13AP5	198.54328118284596
COL3A1	COL1A1	197.46339623819938
COL4A1	TNC	195.27718273568848
GSN	SFRP1	182.2324013644127
COL1A1	COL1A2	180.67612425972138
COL3A1	BGN	175.35519512571807
ADIRF	LUM	174.87044605988766
C3	CFD	172.33951956709205
NDUFA4L2	RGS5.1	169.4702557488631
COL3A1	COL1A2	168.00511660198566
LUM	SFRP1	159.0988640852841
S100A6	IGFBP6	157.5353709365676
CPE	GPC3	153.07467749155722
COL3A1	COL4A1	150.64523188346865
RGS5.1	TM4SF1	146.08899206388432
RPL3P4	RPS3AP6	144.43736750961781
IGFBP6	S100A10	142.70648035421436
S100A6	GSN	142.08769437551666
S100A6	S100A10	141.7371657388821
IGFBP6	GSN	139.20983358116493
CPE	SOD3	139.12871914000675
C2ORF40	ADH1B	137.78009115725067
LUM	ADIRF	136.88630858549277
CPE	LHFPL6	134.41788315984783
RPS3AP6	RPL3P4	132.75172303016808
CAV1	CAV2	129.88668119296807
COL3A1	VCAN	129.60510028243257
COL3A1	COL6A3	128.88542803979132
RPL3P4	RPL13AP5	128.7666636471448
EPAS1	C2ORF40	127.15722291658834
FABP4	FABP5	126.80649818683958
POSTN	C2ORF40	123.8828226759483
TIMP1	C2ORF40	122.74305772336369
IGFBP6	OGN	122.48496034109375
LUM	GPC3	120.8574209955749
RGS5.1	CPM	120.82634015178857
LUM	FP671120.4	120.47728540008856
CAV2	CAV1	119.96781707617926
VCAN	TIMP1	119.33617855037157
HIGD1B	RGS5.1	118.48633029319988
RPL13AP5	RPL13A	117.6283324192052
TM4SF1	RGS5.1	117.62691883081754
RGS5.1	SYS1-DBNDD2	116.55944930374272
C2ORF40	NPY1R	116.46882456840065
POSTN	TIMP1	115.03368766190528
SFRP1	CFD	114.52704622066032
RPL13AP5	RPS3AP6	112.70320595565995
COL3A1	HOPX	112.58668334481123
RGS5.1	NDUFA4L2	111.30518710364694
RGS5.1	DBNDD2	111.26553971755855
NTM	IGFBP5	111.12766307445129
RPS6	RPL3	110.87493916922843
SFRP1	GSN	110.52020900769622
COL3A1	POSTN	110.35472138110501
COL3A1	COL8A1	109.48135169182476
PCOLCE2	RSPO3	109.21288390709233
OGN	IGFBP6	109.0000565518096
ADH1B	NPY1R	108.31819693283781
CTHRC1	POSTN	107.88660344152728
COL1A1	COL6A3	107.78202882397994
OGN	GSN	107.34218001434888
RPS18	RPL3	106.05458097678039
EMILIN1	COL15A1	105.54094102397684
TIMP1	POSTN	105.38818692402475
SFRP1	COL12A1	105.24633719341499
C2ORF40	EPAS1	104.3808926429391
COL3A1	COL5A2	104.36126311039064
S100A10	S100A6	103.73773585625031
FABP5	FABP4	103.5733525675655
